user,time,mall,content
c***3,2016/3/12,京东商城,用起来感觉不错、 就是没有什么礼物？ 没有盒子、 手机充电器坏的
s***p,2016/3/3,京东商城,很薄很轻的感觉，怕把手机坐弯了。苹果除了贵基本就没什么缺点了吧。
sherryzhuowhn,2016/2/26,京东商城,不知怎的，夜间拍照像素和别人的6不一样，感觉自己得不太清晰，是我没调好吗？
babing111120,2016/2/16,京东商城,很多订单一起评价的，没有时间写好不好，凡是没写不好了，都是我认为可以的商品。
jd_756067629,2016/2/15,京东商城,这是我复制过来的，我自己懒得写了，但这也是我想表达的意思。我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较垃圾的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量
1***3,2016/2/15,京东商城,朋友做手机的 说是被拆过的机。不知道是不是真的，反正用着还行。
soolinecool,2016/2/14,京东商城,才来评价，买来以后用了一个月，进了次酒，左下角有个小水印，用了两个月，home键下方的屏幕碎了。手机可以，就是我这用的不小心。
jd_ztfwhy,2016/2/2,京东商城,这是我复制过来的，我自己懒得写了，但这也是我想表达的意思。我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较垃圾的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量。
jd184376ecj,2016/2/1,京东商城,还不错，用了两个月来评价，反应速度可以，现在用的很习惯，双十一免息免手续费买的，很划算
没***3,2016/2/1,京东商城,"很好很好哦 给官网打过电话 是正品，验过保修期是一年,用了白条表示很开心。很满意 棒棒哒"
