项目名称,批准预售时间,项目名称,开发商,行政区,房屋总套数,房屋总面积（万平方米） 
1,15-Aug,“星河传奇花园”(二期),深圳市瑞和佳源房地产开发有限公司、深圳市龙华上塘股份合作公司,宝安,382,34183 
2,13-Aug,爱心家园,深圳市森之润投资发展有限公司,宝安,621,41034 
3,13-Oct,安鸿峰景苑,深圳市安鸿兴投资发展有限公司,龙岗,183,17205 
4,14-Dec,岸上林居,深圳市龙盛豪庭投资有限公司,龙岗,747,66364 
5,15-Nov,奥宸观壹城华府（A928-0468）,深圳市奥宸房地产开发有限公司,宝安,892,77432 
6,12-Apr,澳城花园,澳达实业发展（深圳）有限公司、深圳市蛇口海湾实业股份有限公司,南山,623,62509 
7,15-Dec,柏宁花园,华润置地（深圳）发展有限公司,南山,290,89375 
8,12-Jul,百合山水别苑,深圳市五联百合房地产开发有限公司,龙岗,610,66792 
9,13-Dec,百合山水别苑,深圳市五联百合房地产开发有限公司,龙岗,126,11315 
10,14-Mar,百合山水别苑,深圳市五联百合房地产开发有限公司,龙岗,604,51341 
11,16-Mar,半岛城邦花园（三期）,深圳半岛城邦房地产开发有限公司,南山,1074,184951 
12,14-Dec,半山海花园,深圳市承翰投资开发集团有限公司,龙岗,599,36398 
13,13-Mar,保利上城花园,深圳市雅豪园投资有限公司,龙岗,676,56409 
14,13-Sep,保利上城花园,深圳市雅豪园投资有限公司,龙岗,379,31134 
15,13-Oct,保利上城花园,深圳市雅豪园投资有限公司,龙岗,458,39020 
16,15-Jun,保利悦都花园（A835-0361),深圳市保利置地房地产开发有限公司,宝安,499,44780 
17,15-Jun,保利悦都花园（A835-0362）,深圳市保利置地房地产开发有限公司,宝安,131,11154 
18,14-Jun,宝翠苑,宝安鸿基地产集团股份有限公司,罗湖,184,18201 
19,15-Dec,宝丰苑,深圳仙诺制药有限公司,罗湖,88,8051 
20,15-Nov,宝能城花园,宝能城有限公司,南山,625,54641 
21,16-Mar,宝能城花园,宝能城有限公司,南山,686,90096 
22,15-Sep,宝能城市公馆（一、二期）,宝能地产股份有限公司,福田,647,97435 
23,12-Nov,宝能华府,深圳宝能华府置业有限公司,南山,313,29933 
24,14-Sep,笔架山公馆,深圳市天居基业投资有限公司,福田,377,35208 
25,12-Jul,碧海富通城,深圳市富通房地产开发投资有限公司,宝安,335,28513 
26,14-Dec,滨海盛世名苑,深圳市坚得利实业有限公司,龙岗,57,5253 
27,15-May,博林天瑞花园（二期）,深圳博林集团有限公司、深圳市博林房地产开发有限公司、深圳市草莆清水河实业股份合作公司,南山,630,114041 
28,14-Jul,博林天瑞花园（一期）,深圳博林集团有限公司、深圳市博林房地产开发有限公司、深圳市草莆清水河实业股份有限公司,南山,393,49612 
29,13-Jan,泊郡雅苑,深圳市鸿泰实业股份有限公司，深圳市裕宏实业股份有限公司，深圳市裕泰实业股份有限公司,盐田,324,25114 
30,16-Apr,城脉深圳湾公馆,广东城脉地产有限公司,南山,150,14345 
31,13-May,承翰陶源花园,深圳市五联将军帽房地产开发有限公司,龙岗,571,58756 
32,13-Jun,承翰陶源花园,深圳市五联将军帽房地产开发有限公司,龙岗,288,26021 
33,15-Sep,赤湾海鹏阁,中国南山开发（集团）股份有限公司,南山,59,5586 
34,12-Jul,纯水岸(十五期),深圳华侨城房地产有限公司,南山,56,18748 
35,13-Aug,纯水岸(十五期),深圳华侨城房地产有限公司,南山,399,104014 
36,12-Jul,纯水岸（十四期）,深圳华侨城房地产有限公司,南山,158,47290 
37,14-Sep,大康福盈门大厦,深圳市大康投资集团有限公司，深圳市福丰利实业发展有限公司，深圳市福田环庆实业股份有限公司,福田,238,40049 
38,14-Jul,大族河山花园,深圳市大族基业房地产开发有限公司,龙岗,650,60359 
39,13-Jan,丹梓龙庭,深圳市华明辉置业有限公司,龙岗,274,19435 
40,13-Aug,丹梓龙庭,深圳市华明辉置业有限公司,龙岗,248,19156 
41,15-Nov,德润荣君府,深圳市德润创展房地产开发有限公司,龙岗,290,27176 
42,15-Dec,德润荣君府,深圳市德润创展房地产开发有限公司,龙岗,347,37035 
43,15-Nov,地铁锦上花园,深圳市地铁集团有限公司,龙岗,810,85407 
44,16-Apr,地铁锦上花园,深圳市地铁集团有限公司,龙岗,881,90934 
45,14-Nov,地铁前海时代广场,深圳市地铁集团有限公司,前海,805,73424 
46,15-Dec,地铁前海时代广场(9号地块),深圳市地铁集团有限公司,前海,550,97525 
47,12-Jun,第五园（七期）,深圳市万科南城房地产有限公司,龙岗,126,22078 
48,12-Sep,第五园（七期）,深圳市万科南城房地产有限公司,龙岗,234,43473 
49,14-Sep,鼎胜金域世家豪园,深圳市鼎胜投资有限公司,南山,184,18558 
50,14-Sep,鼎胜金域世家豪园,深圳市龙井实业股份有限公司,南山,183,18477 
51,13-Aug,东城中心花园,深圳市麟恒投资发展有限公司,龙岗,497,33841 
52,15-Apr,东城中心花园（二期）,深圳市麟恒投资发展有限公司,龙岗,603,57471 
53,13-Nov,东都花园一区,民生东都深圳房地产开发有限公司,龙岗,186,16997 
54,14-Jun,东都花园一区,民生东都深圳房地产开发有限公司,龙岗,119,11326 
55,14-Jul,东都花园一区,民生东都深圳房地产开发有限公司,龙岗,119,11344 
56,12-Jan,东晟时代花园,深业南方地产（集团）有限公司,龙岗,1030,86808 
57,12-Oct,非凡空间阁,深圳市泰业投资有限公司,龙岗,252,14492 
58,15-Jun,峰荟花园（二期）,深圳市秋铭投资发展有限公司,宝安,347,40876 
59,14-Nov,峰荟花园（一期）,深圳市秋铭投资发展有限公司,宝安,933,77714 
60,13-Dec,福安雅园,中国长安汽车集团深圳投资有限公司,宝安,4003,350173 
61,12-Oct,福东龙华府,深圳市福东龙投资有限公司,宝安,316,27308 
62,14-Jul,福盈中央山花园北区,深圳市福盈置地控股有限公司,宝安,320,35559 
63,14-Sep,福盈中央山花园南区,深圳市福盈置地控股有限公司,宝安,91,8072 
64,15-Aug,富士嘉园,深圳市富士投资（集团）有限公司,宝安,1353,94627 
65,15-Oct,港城蓝山雅园,深圳市港城建业房地产开发有限公司，深圳市鑫群实业股份有限公司,盐田,486,43295 
66,15-Sep,港信达银信广场,深圳市港信达投资发展有限公司,龙岗,336,31323 
67,15-May,高发悦驰苑,深圳市高发投资控股有限公司,龙岗,71,4920 
68,12-Aug,公馆一八六六花园(北区),正兴隆房地产（深圳）有限公司,宝安,973,98608 
